phenotype,n_patients,n_positive,n_negative,n_features_selected,roc_auc,accuracy,precision,recall,f1,build_time_sec
stroke,2400,800,1600,16,0.8913647697854294,0.8112416107382551,0.6864035087719298,0.7924050632911392,0.735605170338036,184.5153410434723
heart_failure,2400,800,1600,16,0.9142982500441907,0.8417085427135679,0.7337807606263982,0.8241206030150754,0.7763313608969137,39.9666109085083
ischemic_heart_disease,2400,800,1600,16,0.8928272313950706,0.8066945606694561,0.6590909090909091,0.8721804511278195,0.7508090614396414,122.05811214447021
ascvd,2400,800,1600,15,0.9098358333018475,0.8343096234309624,0.7189542483660131,0.8270676691729323,0.7692307691810137,32.43491721153259
dyslipidemia,2400,800,1600,16,0.8953332553751632,0.8241206030150754,0.6858846918489065,0.8690176322418136,0.7666666666173603,47.63950562477112
hypertension,2400,800,1600,16,0.8988401125122467,0.8323554065381391,0.693359375,0.8919597989949749,0.7802197801705649,110.10367703437805
chronic_kidney_disease,2400,800,1600,16,0.9463302694376405,0.8961474036850922,0.8407960199004975,0.8492462311557789,0.8449999999500013,17.029419898986816
type2_diabetes,2400,800,1600,16,0.931392723109217,0.874895046179681,0.8090452261306532,0.8151898734177215,0.812105926810026,16.480918169021606
obstructive_sleep_apnea,2400,800,1600,16,0.7669361253503699,0.6557788944723618,0.4901065449010654,0.8090452261306532,0.6104265402373736,139.83234667778015
prediabetes,2400,800,1600,16,0.7967660368167366,0.76010101010101,0.6289156626506024,0.6658163265306123,0.6468401486489253,151.5845866203308
asthma,2400,800,1600,16,0.6578009695834336,0.5582564962279967,0.4128686327077748,0.7758186397984886,0.5389326333754839,179.38102555274963
