Variable,HF+ (n=78),HF– (n=922),p
Demographics,,,
"Age, years, median (IQR)",67.0 (57.0–80.0),63.0 (50.2–72.0),0.002
"Female, n (%)",48 (61.5%),475 (51.5%),0.089
Race / ethnicity,,,
White,52 (66.7%),652 (70.7%),0.452
Black/African American,10 (12.8%),144 (15.6%),0.511
Hispanic/Latino,1 (1.3%),27 (2.9%),0.718
Asian,4 (5.1%),8 (0.9%),0.010
Other / unknown,11 (14.1%),91 (9.9%),0.236
Admission characteristics,,,
"Length of stay, days, median (IQR)",5.7 (2.8–10.1),3.4 (1.8–6.1),<0.001
ICU stay during admission,28 (35.9%),189 (20.5%),0.002
Died during admission,7 (9.0%),16 (1.7%),0.001
Insurance / admission type,,,
Medicare,65 (83.3%),497 (53.9%),<0.001
Medicaid,9 (11.5%),136 (14.8%),0.439
Private,4 (5.1%),245 (26.6%),<0.001
Other,0 (0.0%),31 (3.4%),0.164
Emergency admission,23 (29.5%),454 (49.2%),<0.001
Comorbidities (this admission),,,
Diabetes mellitus (any),47 (60.3%),83 (9.0%),<0.001
Hypertension,68 (87.2%),182 (19.7%),<0.001
Chronic kidney disease,41 (52.6%),35 (3.8%),<0.001
COPD,15 (19.2%),39 (4.2%),<0.001
Atrial fibrillation,41 (52.6%),47 (5.1%),<0.001
Ischemic heart disease,56 (71.8%),75 (8.1%),<0.001
Stroke,1 (1.3%),6 (0.7%),0.435
